symbol,exchange,sym,sort
515220,SH,515220.SH,T1
515150,SH,515150.SH,T1
513730,SH,513730.SH,T0
513400,SH,513400.SH,T0
512710,SH,512710.SH,T1
512690,SH,512690.SH,T1
159966,SZ,159966.SZ,T1
159960,SZ,159960.SZ,T0
159944,SZ,159944.SZ,T1
159937,SZ,159937.SZ,T0
159920,SZ,159920.SZ,T0
159887,SZ,159887.SZ,T1
159870,SZ,159870.SZ,T1
159869,SZ,159869.SZ,T1
159866,SZ,159866.SZ,T0
159857,SZ,159857.SZ,T1
159851,SZ,159851.SZ,T1
159770,SZ,159770.SZ,T1
159766,SZ,159766.SZ,T1
159741,SZ,159741.SZ,T0
159732,SZ,159732.SZ,T1
159713,SZ,159713.SZ,T1
159708,SZ,159708.SZ,T1
159699,SZ,159699.SZ,T0
159692,SZ,159692.SZ,T1
159687,SZ,159687.SZ,T0
159671,SZ,159671.SZ,T1
159666,SZ,159666.SZ,T1
159660,SZ,159660.SZ,T0
159637,SZ,159637.SZ,T1
159635,SZ,159635.SZ,T1
159616,SZ,159616.SZ,T1
159612,SZ,159612.SZ,T0
159599,SZ,159599.SZ,T1
159583,SZ,159583.SZ,T1
159577,SZ,159577.SZ,T0
159570,SZ,159570.SZ,T0
159561,SZ,159561.SZ,T0
159518,SZ,159518.SZ,T0
159516,SZ,159516.SZ,T1
159501,SZ,159501.SZ,T0
159500,SZ,159500.SZ,T1
159333,SZ,159333.SZ,T0
159329,SZ,159329.SZ,T0
159320,SZ,159320.SZ,T1
159300,SZ,159300.SZ,T1
159241,SZ,159241.SZ,T1
159209,SZ,159209.SZ,T1
159206,SZ,159206.SZ,T1
159201,SZ,159201.SZ,T1
